Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;333108/ Tarifas Bancárias;0,00;312107/Chargeback;0;
 ; ; ; ; ; ; ;333109/Taxas adm Cartoes;0,00;313102/Descontos Obtidos;0;
 ; ; ; ; ; ; ;333150/Taxa de recebiveis;0,00;313107/Desc Obt - Acordos Comerciais;0;
 ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;0,00;321255/( - ) Bonificações;0;
 ; ; ; ; ; ; ;333206/Perdas s/ Créditos;0,00;331110/Encargos Sociais - INSS;0;
 ; ; ; ; ; ; ; ; ;331305/Multas Dedutíveis;0;
 ; ; ; ; ; ; ; ; ;332615/Taxas Ifood;1878,28;
 ; ; ; ; ; ; ; ; ;332707/Doações;4381,29;
 ; ; ; ; ; ; ; ; ;333101/Juros Pagos;3,93;
 ; ; ; ; ; ; ; ; ;333102/Desc. Concedidos;2825,92;
 ; ; ; ; ; ; ; ; ;333107/IOF;0;
 ; ; ; ; ; ; ; ; ;333108/Tarifas Bancárias;2758,21;
 ; ; ; ; ; ; ; ; ;333109/Taxas adm Cartoes;163403,84;
 ; ; ; ; ; ; ; ; ;333111/Tarifa s/ Cobrança;63,87;
 ; ; ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;4334,22;
 ; ; ; ; ; ; ; ; ;333117/Juros Empr/Financ;4017,96;
 ; ; ; ; ; ; ; ; ;333120/Tarifa  Alelo Ali;60,3;
 ; ; ; ; ; ; ; ; ;333124/Tarifa - Sodexo Alim;43,6;
 ; ; ; ; ; ; ; ; ;333125/Tarifa - Ticket Alim;3012,51;
 ; ; ; ; ; ; ; ; ;333127/ Tarifa Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ; ; ;333128/Tarifa- VR Benef;271,48;
 ; ; ; ; ; ; ; ; ;333129/Tarifa - Sodexo Ref;28,47;
 ; ; ; ; ; ; ; ; ;333130/Tarifa- Sodexo Premium;0;
 ; ; ; ; ; ; ; ; ;333131/Tarifa - AMEX;0;
 ; ; ; ; ; ; ; ; ;333133/Tarifa Credito - Cabal;0;
 ; ; ; ; ; ; ; ; ;333134/ Tarifa GoodCard;0;
 ; ; ; ; ; ; ; ; ;333135/Tarifa Cred System;7;
 ; ; ; ; ; ; ; ; ;333136/Tarifa - ECX Card;0;
 ; ; ; ; ; ; ; ; ;333139/Tarifa- Mastercard;0;
